scenario,segment,any_target_acquisition_rate,copy_goal_completion_rate,avg_total_pulls,avg_wasted_progress,avg_frustration_score,mean_churn_propensity,observed_churn_rate,avg_dupe_utility
A_baseline_hard_pity,free_to_play,0.432,0.432,91.41333333333333,0.13443179894179894,0.47894269060629713,0.6179885499217558,0.996,0.2461984126984127
A_baseline_hard_pity,high_spender,0.9493333333333334,0.2866666666666667,1020.6906666666666,0.34616703703703705,0.5252012616378456,0.3285071347765963,0.9346666666666666,0.6131147715434802
A_baseline_hard_pity,low_spender,0.624,0.624,207.73333333333332,0.21006881192881194,0.4126016939102185,0.5050829306570367,0.9746666666666667,0.40282063492063497
A_baseline_hard_pity,medium_spender,0.8146666666666667,0.644,529.3093333333334,0.29533503126503124,0.42651937798177253,0.387064549188242,0.9186666666666666,0.5506629904189833
B_lower_hard_pity,free_to_play,0.432,0.432,91.404,0.1786293523809524,0.4900471371324486,0.6309509749604096,0.9946666666666667,0.23858095238095237
B_lower_hard_pity,high_spender,0.9973333333333333,0.328,1119.504,0.34083097777777777,0.5138966511186868,0.27332672086015547,0.892,0.6714472030879837
B_lower_hard_pity,low_spender,0.672,0.672,219.87333333333333,0.26107173333333333,0.4011711171480614,0.48367595421663234,0.968,0.440231746031746
B_lower_hard_pity,medium_spender,0.8386666666666667,0.648,532.9346666666667,0.37223862857142853,0.434212131196417,0.3841983047059411,0.9333333333333333,0.5704355566352197
C_improved_base_rate,free_to_play,0.5453333333333333,0.5453333333333333,101.00666666666666,0.11732806637806638,0.4316206877518353,0.5454999973356968,0.9853333333333333,0.33742698412698413
C_improved_base_rate,high_spender,0.9866666666666667,0.6893333333333334,1317.1573333333333,0.2196571091871092,0.4085550593875931,0.21111013851343924,0.7986666666666666,0.7772859052709545
C_improved_base_rate,low_spender,0.78,0.78,247.02266666666668,0.1463230735930736,0.3122981590297984,0.35956967384408084,0.856,0.5810111111111111
C_improved_base_rate,medium_spender,0.9186666666666666,0.812,602.9146666666667,0.1830948965848966,0.31013042364167137,0.24839555199912244,0.7773333333333333,0.7146946889095656
D_carryover_pity,free_to_play,0.43733333333333335,0.43733333333333335,97.93733333333333,0.0,0.4605233118065905,0.5806506889695842,0.996,0.23884444444444444
D_carryover_pity,high_spender,0.9826666666666667,0.41333333333333333,1442.504,0.0,0.4526862876351977,0.18117022682714737,0.7733333333333333,0.6668192030565909
D_carryover_pity,low_spender,0.6666666666666666,0.6666666666666666,247.63333333333333,0.0,0.36613021227103193,0.42144023661675334,0.9386666666666666,0.4274952380952381
D_carryover_pity,medium_spender,0.88,0.7373333333333333,684.184,0.0,0.35655294901135015,0.2561436904972732,0.812,0.6030980337410927
E_token_spark_250,free_to_play,0.444,0.444,98.524,0.13606878306878306,0.48074752836720047,0.5941557480467127,0.988,0.24304126984126984
E_token_spark_250,high_spender,0.9973333333333333,0.7586666666666667,1709.0613333333333,0.17461685906685906,0.40263316807588995,0.10778073265692587,0.564,0.8014306845055695
E_token_spark_250,low_spender,0.66,0.66,250.416,0.19195771524771524,0.38261101435904715,0.4264388706130279,0.8586666666666667,0.4569238095238095
E_token_spark_250,medium_spender,0.84,0.7666666666666667,693.988,0.21149946127946126,0.33789913762521123,0.23802592219062504,0.6586666666666666,0.6687188314632219
